Date,Close,Date,High,Date,Low,Date,Open
21/07/2020 16:00:00,77.8,21/07/2020 16:00:00,79.35,21/07/2020 16:00:00,77.63,21/07/2020 16:00:00,79.25
22/07/2020 16:00:00,78.24,22/07/2020 16:00:00,78.35,22/07/2020 16:00:00,77.16,22/07/2020 16:00:00,77.79
23/07/2020 16:00:00,75.84,23/07/2020 16:00:00,78.52,23/07/2020 16:00:00,75.43,23/07/2020 16:00:00,78.3
24/07/2020 16:00:00,75.41,24/07/2020 16:00:00,75.77,24/07/2020 16:00:00,74.38,24/07/2020 16:00:00,74.96
27/07/2020 16:00:00,76.47,27/07/2020 16:00:00,76.88,27/07/2020 16:00:00,75.62,27/07/2020 16:00:00,75.66
28/07/2020 16:00:00,75.18,28/07/2020 16:00:00,76.3,28/07/2020 16:00:00,75.03,28/07/2020 16:00:00,76.25
29/07/2020 16:00:00,76.18,29/07/2020 16:00:00,76.67,29/07/2020 16:00:00,75.15,29/07/2020 16:00:00,75.25
30/07/2020 16:00:00,76.92,30/07/2020 16:00:00,77.04,30/07/2020 16:00:00,74.76,30/07/2020 16:00:00,74.9
31/07/2020 16:00:00,74.4,31/07/2020 16:00:00,75.25,31/07/2020 16:00:00,72.7,31/07/2020 16:00:00,74.85
03/08/2020 16:00:00,74.14,03/08/2020 16:00:00,74.89,03/08/2020 16:00:00,73.59,03/08/2020 16:00:00,74.55
04/08/2020 16:00:00,73.67,04/08/2020 16:00:00,74.66,04/08/2020 16:00:00,73.2,04/08/2020 16:00:00,74.34
05/08/2020 16:00:00,73.95,05/08/2020 16:00:00,74.5,05/08/2020 16:00:00,73.56,05/08/2020 16:00:00,73.84
06/08/2020 16:00:00,75.25,06/08/2020 16:00:00,75.31,06/08/2020 16:00:00,73.6,06/08/2020 16:00:00,73.81
07/08/2020 16:00:00,74.92,07/08/2020 16:00:00,76,07/08/2020 16:00:00,74.31,07/08/2020 16:00:00,75.45
10/08/2020 16:00:00,74.84,10/08/2020 16:00:00,75.36,10/08/2020 16:00:00,73.87,10/08/2020 16:00:00,74.54
11/08/2020 16:00:00,74.03,11/08/2020 16:00:00,75.52,11/08/2020 16:00:00,73.91,11/08/2020 16:00:00,74.7
12/08/2020 16:00:00,75.36,12/08/2020 16:00:00,75.58,12/08/2020 16:00:00,74.25,12/08/2020 16:00:00,74.36
13/08/2020 16:00:00,75.83,13/08/2020 16:00:00,76.85,13/08/2020 16:00:00,75.41,13/08/2020 16:00:00,75.41
14/08/2020 16:00:00,75.23,14/08/2020 16:00:00,75.99,14/08/2020 16:00:00,74.95,14/08/2020 16:00:00,75.68
17/08/2020 16:00:00,75.81,17/08/2020 16:00:00,76.19,17/08/2020 16:00:00,75.25,17/08/2020 16:00:00,75.8
18/08/2020 16:00:00,77.79,18/08/2020 16:00:00,77.87,18/08/2020 16:00:00,76.08,18/08/2020 16:00:00,76.31
19/08/2020 16:00:00,77.23,19/08/2020 16:00:00,78.44,19/08/2020 16:00:00,77,19/08/2020 16:00:00,77.62
20/08/2020 16:00:00,78.81,20/08/2020 16:00:00,79.01,20/08/2020 16:00:00,76.72,20/08/2020 16:00:00,77
21/08/2020 16:00:00,78.78,21/08/2020 16:00:00,79.59,21/08/2020 16:00:00,78.12,21/08/2020 16:00:00,78.59
24/08/2020 16:00:00,79.26,24/08/2020 16:00:00,80.44,24/08/2020 16:00:00,78.75,24/08/2020 16:00:00,79.62
25/08/2020 16:00:00,80.29,25/08/2020 16:00:00,80.44,25/08/2020 16:00:00,78.89,25/08/2020 16:00:00,79.01
26/08/2020 16:00:00,82.21,26/08/2020 16:00:00,82.64,26/08/2020 16:00:00,80.05,26/08/2020 16:00:00,80.32
27/08/2020 16:00:00,81.43,27/08/2020 16:00:00,82.4,27/08/2020 16:00:00,80.94,27/08/2020 16:00:00,82.33
28/08/2020 16:00:00,81.97,28/08/2020 16:00:00,82.07,28/08/2020 16:00:00,81.28,28/08/2020 16:00:00,81.47
31/08/2020 16:00:00,81.48,31/08/2020 16:00:00,82.23,31/08/2020 16:00:00,81.27,31/08/2020 16:00:00,82.18
01/09/2020 16:00:00,82.75,01/09/2020 16:00:00,82.96,01/09/2020 16:00:00,81.48,01/09/2020 16:00:00,81.61
02/09/2020 16:00:00,85.87,02/09/2020 16:00:00,86.31,02/09/2020 16:00:00,83.01,02/09/2020 16:00:00,83.4
03/09/2020 16:00:00,81.48,03/09/2020 16:00:00,85,03/09/2020 16:00:00,80.39,03/09/2020 16:00:00,84.98
04/09/2020 16:00:00,79.06,04/09/2020 16:00:00,81.75,04/09/2020 16:00:00,76.9,04/09/2020 16:00:00,80.45
08/09/2020 16:00:00,76.18,08/09/2020 16:00:00,77.78,08/09/2020 16:00:00,75.83,08/09/2020 16:00:00,76.25
09/09/2020 16:00:00,77.36,09/09/2020 16:00:00,77.94,09/09/2020 16:00:00,76.26,09/09/2020 16:00:00,77.44
10/09/2020 16:00:00,76.3,10/09/2020 16:00:00,78.68,10/09/2020 16:00:00,76,10/09/2020 16:00:00,77.51
11/09/2020 16:00:00,75.79,11/09/2020 16:00:00,76.93,11/09/2020 16:00:00,74.65,11/09/2020 16:00:00,76.41
